,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature,feature
30,mean,6.0,6.0,43.2,0.7431695236255285,0.6617125313332173,0.6967205990230252,1.3730428862000816,60.0,39.91851983865102,0.0,chr2L
62,mean,6.0,6.0,34.7,0.7523842422164401,0.6829519380564432,0.7083932534533613,1.3730428862000816,60.0,33.92687378724416,1.0,chr2R
94,mean,6.0,6.0,39.63333333333333,0.7454174902384046,0.6695333330470384,0.7046544971608731,1.3730428862000816,60.0,38.63154850006104,2.0,chr3L
126,mean,6.0,6.0,42.733333333333334,0.7385937381863773,0.6626215654025313,0.6996694853125363,1.3730428862000816,60.0,39.644232241312665,3.0,chr3R
158,mean,6.0,6.0,41.63333333333333,0.7418215844704759,0.6627497700775693,0.6918330589012192,1.3730428862000816,60.0,38.23998246192932,4.0,chrX
190,mean,6.0,6.0,40.166666666666664,0.7383963554990045,0.6611206637697278,0.6979965374055638,1.3730428862000816,60.0,38.34724087715149,5.0,start_coord
222,mean,6.0,6.0,40.3,0.75367063145389,0.6738416202245304,0.7056862525356541,1.3730428862000816,60.0,38.5021417538325,6.0,Chriz
254,mean,6.0,6.0,40.666666666666664,0.7353074547706342,0.6640852851712565,0.6927660512407692,1.3730428862000816,60.0,40.193530066808066,7.0,CTCF
286,mean,6.0,6.0,37.96666666666667,0.7484766640296969,0.6731426359862166,0.6946849228624566,1.3730428862000816,60.0,43.232742524147035,8.0,Su(Hw)
318,mean,6.0,6.0,46.1,0.7293390319430116,0.6506717812294289,0.6816967698073839,1.3730428862000816,60.0,47.107379627227786,9.0,BEAF-32
350,mean,6.0,6.0,38.3,0.7531373391466528,0.6840631510390498,0.7152878192516845,1.3730428862000816,60.0,45.10641174316406,10.0,CP190
382,mean,6.0,6.0,40.93333333333333,0.7378379644199896,0.6617650193485013,0.6875951363222099,1.3730428862000816,60.0,47.59255928198497,11.0,GAF
414,mean,6.0,6.0,39.333333333333336,0.7453629404723199,0.6694757682159895,0.7020204656927448,1.3730428862000816,60.0,49.856007266044614,12.0,H3K4me1
446,mean,6.0,6.0,38.56666666666667,0.7404357832913228,0.6690687075104357,0.7056120450918013,1.3730428862000816,60.0,46.277836402257286,13.0,H3K4me2
478,mean,6.0,6.0,41.3,0.7434357692702724,0.6664925656166165,0.6941917456094805,1.3730428862000816,60.0,49.24412256876628,14.0,H3K4me3
510,mean,6.0,6.0,42.5,0.7359870145561669,0.6561617510400453,0.6864095062677295,1.3730428862000816,60.0,58.347815012931825,15.0,H3K9me2
542,mean,6.0,6.0,39.833333333333336,0.7447423615680986,0.6704976661716108,0.6968034059264304,1.3730428862000816,60.0,53.76277152697245,16.0,H3K9me3
574,mean,6.0,6.0,38.93333333333333,0.7384750753806427,0.6639435319982483,0.7003660122553722,1.3730428862000816,60.0,46.82707222302755,17.0,H3K27ac
606,mean,6.0,6.0,41.36666666666667,0.7414395688402166,0.6670115561993604,0.6947672654813088,1.3730428862000816,60.0,49.62277088960012,18.0,H3K27me1
638,mean,6.0,6.0,41.8,0.7350552071925057,0.6595260534310039,0.6945835525544608,1.3730428862000816,60.0,108.03251065413157,19.0,H3K27me3
670,mean,6.0,6.0,41.96666666666667,0.7392960029286821,0.6633802132588271,0.6986250367886357,1.3730428862000816,60.0,45.69436804453532,20.0,H3K36me1
702,mean,6.0,6.0,42.43333333333333,0.7435763536766786,0.6622785303768991,0.6990892704670831,1.3730428862000816,60.0,68.88215571244558,21.0,H3K36me3
734,mean,6.0,6.0,41.86666666666667,0.7346946450070003,0.661073159140413,0.6945874601215186,1.3730428862000816,60.0,75.00924795468649,22.0,H4K16ac
766,mean,6.0,6.0,37.2,0.7484799491575614,0.6779328239315012,0.7126905418709886,1.3730428862000816,60.0,39.99127747217814,23.0,RNA-polymerase-II
798,mean,6.0,6.0,65.56666666666666,0.7299151377475621,0.6716028338314523,0.7310616356274037,1.3585657081305134,160.0,39.148460300763446,-1.0,all
